logiciel,langage,fichiers,vides,commentaires,code
raven,CMake,1,18,15,79
raven,HTML,2,1,16,42
raven,Jupyter Notebook,1,0,389,38
raven,DOS Batch,1,0,0,32
raven,Perl,1,2,15,20
raven,INI,1,1,0,3
raven,R,1,0,0,1
UQpy,Python,595,10721,13447,27147
UQpy,reStructuredText,173,2518,1661,3434
UQpy,TeX,1,94,0,928
UQpy,Tcl/Tk,4,121,197,778
UQpy,Jupyter Notebook,2,0,848,307
UQpy,Markdown,5,76,0,205
UQpy,YAML,4,32,4,189
UQpy,Text,6,0,0,116
UQpy,Bourne Shell,6 \t,44,86,59
UQpy,MATLAB,5,0,0,37
UQpy,DOS Batch,1,8,1,26
UQpy,Mathematica,1,0,0,9
UQpy,make,1,4,7,9
UQpy,JSON,1,0,0,4
UQpy,Dockerfile,1,2,5,2
UQpy,INI,1,0,0,2
chaospy,Python,205,3162,7364,26538
chaospy,reStructuredText,39,653,836,1351
chaospy,Jupyter Notebook,20,0,9254,1081
chaospy,SVG,2,0,0,174
chaospy,TeX,2,11,0,121
chaospy,Markdown,5,34,0,110
chaospy,YAML,3,13,0,72
chaospy,TOML,1,4,0,52
chaospy,Text,3,4,0,17
chaospy,Bourne Shell,1,1,0,9
chaospy,make,1,4,6,9
UQTk,HTML,736,10551,2202,174931
UQTk,Fortran 77,256,461,34092,28768
UQTk,C/C++ Header,96,7872,13460,26814
UQTk,C++,121,7952,8526,26256
UQTk,Python,110,3001,6866,10723
UQTk,CMake,113,850,392,3699
UQTk,CSS,5,668,144,3427
UQTk,SWIG,3,296,672,2438
UQTk,Jupyter Notebook,12,0,7027,1437
UQTk,JavaScript,10,85,263,1059
UQTk,Bourne Shell,23,132,715,782
UQTk,C,4,153,547,779
UQTk,Text,2,0,0,64
UQTk,TeX,3,188,0,448
UQTk,Logos,18,194,760,303
UQTk,XML,6,136,258,266
UQTk,SVG,12,0,0,163
UQTk,make,4,51,14,145
UQTk,Markdown,3,18,0,101
UQTk,MATLAB,1,2,0,8
sensitivity,R,72,3457,3515,13868
sensitivity,C++,13,164,107,681
URANIE,C++,739,36695,45640,211090
URANIE,HTML,175,7274,10,59027
URANIE,C/C++ Header,613,11094,38182,31404
URANIE,C,103,2761,8530,17355
URANIE,CMake,108,2304,2852,6810
URANIE,Python,180,1782,2008,6158
URANIE,CSV,2,0,0,5418
URANIE,diff,6,741,2830,3649
URANIE,XML,26,12,0,1381
URANIE,CUDA,2,215,239,985
URANIE,Fortran 77,14,68,509,777
URANIE,CSS,4,78,36,703
URANIE,Markdown,1,98,0,526
URANIE,JavaScript,3,80,35,430
URANIE,XSLT,3,71,39,390
URANIE,Text,3,67,0,298
URANIE,Bourne Again Shell,4,26,14,105
URANIE,C Shell,2,25,15,85
URANIE,DTD,1,9,25,77
URANIE,SWIG,2,17,36,46
URANIE,JSON,1,3,0,28
URANIE,make,1,10,3,19
URANIE,PowerShell,2,0,0,4
