"Week of";"Commits"
"2021-06-06";3
"2021-06-13";6
"2021-06-20";13
"2021-06-27";24
"2021-07-04";19
"2021-07-11";23
"2021-07-18";19
"2021-07-25";9
"2021-08-01";19
"2021-08-08";34
"2021-08-15";15
"2021-08-22";29
"2021-08-29";37
"2021-09-05";6
"2021-09-12";13
"2021-09-19";2
"2021-09-26";10
"2021-10-03";2
"2021-10-10";18
"2021-10-17";24
"2021-10-24";25
"2021-10-31";16
"2021-11-07";58
"2021-11-14";20
"2021-11-21";15
"2021-11-28";6
"2021-12-05";3
"2021-12-12";6
"2021-12-19";8
"2021-12-26";0
"2022-01-02";7
"2022-01-09";9
"2022-01-16";12
"2022-01-23";2
"2022-01-30";1
"2022-02-06";3
"2022-02-13";8
"2022-02-20";4
"2022-02-27";0
"2022-03-06";0
"2022-03-13";1
"2022-03-20";0
"2022-03-27";5
"2022-04-03";8
"2022-04-10";7
"2022-04-17";7
"2022-04-24";6
"2022-05-01";0
"2022-05-08";1
"2022-05-15";3
"2022-05-22";4
"2022-05-29";0
"2022-06-05";4
"2022-06-12";18
"2022-06-19";10
"2022-06-26";9
"2022-07-03";17
"2022-07-10";5
"2022-07-17";22
"2022-07-24";9
"2022-07-31";8
"2022-08-07";5
"2022-08-14";8
"2022-08-21";17
"2022-08-28";11
"2022-09-04";0
"2022-09-11";10
"2022-09-18";2
"2022-09-25";4
"2022-10-02";8
"2022-10-09";11
"2022-10-16";2
"2022-10-23";2
"2022-10-30";9
"2022-11-06";11
"2022-11-13";12
"2022-11-20";4
"2022-11-27";1
"2022-12-04";1
"2022-12-11";1
"2022-12-18";1
"2022-12-25";0
"2023-01-01";1
"2023-01-08";2
"2023-01-15";1
"2023-01-22";0
"2023-01-29";0
"2023-02-05";1
"2023-02-12";4
"2023-02-19";10
"2023-02-26";10
"2023-03-05";0
"2023-03-12";1
"2023-03-19";26
"2023-03-26";2
"2023-04-02";1
"2023-04-09";5
"2023-04-16";3
"2023-04-23";3
"2023-04-30";6
"2023-05-07";8
"2023-05-14";5
"2023-05-21";18
"2023-05-28";4
"2023-06-04";1
"2023-06-11";3
"2023-06-18";12
"2023-06-25";8
"2023-07-02";13
"2023-07-09";7
"2023-07-16";2
"2023-07-23";4
"2023-07-30";11
"2023-08-06";7
"2023-08-13";10
"2023-08-20";10
"2023-08-27";1
"2023-09-03";1
"2023-09-10";3
"2023-09-17";1
"2023-09-24";13
"2023-10-01";8
"2023-10-08";0
"2023-10-15";1
"2023-10-22";4
"2023-10-29";3
"2023-11-05";3
"2023-11-12";0
"2023-11-19";1
"2023-11-26";3
"2023-12-03";3
"2023-12-10";7
"2023-12-17";4
"2023-12-24";0
"2023-12-31";10
"2024-01-07";7
"2024-01-14";4
"2024-01-21";8
"2024-01-28";4
"2024-02-04";3
"2024-02-11";5
"2024-02-18";1
"2024-02-25";4
"2024-03-03";8
"2024-03-10";2
"2024-03-17";2
"2024-03-24";2
"2024-03-31";3
"2024-04-07";2
"2024-04-14";4
"2024-04-21";12
"2024-04-28";4
"2024-05-05";1
"2024-05-12";3
"2024-05-19";2
"2024-05-26";0
"2024-06-02";3
"2024-06-09";3
"2024-06-16";1
"2024-06-23";0
"2024-06-30";2
"2024-07-07";9
"2024-07-14";1
"2024-07-21";7
"2024-07-28";8
"2024-08-04";1
"2024-08-11";0
"2024-08-18";0
"2024-08-25";0
"2024-09-01";0
"2024-09-08";8
"2024-09-15";7
"2024-09-22";3
